original_aln,0.138692,0.167207
1,0.14089,0.164097
2,0.131683,0.177143
3,0.144828,0.149693
4,0.116531,0.171708
5,0.141012,0.156135
6,0.129417,0.173117
7,0.132393,0.162436
8,0.152916,0.159326
9,0.135548,0.192247
10,0.13,0.174327
11,0.132931,0.174588
12,0.157117,0.132589
13,0.177924,0.145641
14,0.13803,0.15918
15,0.122597,0.175727
16,0.136218,0.193585
17,0.142248,0.153865
18,0.133161,0.147494
19,0.161997,0.133317
20,0.134043,0.165541
21,0.131153,0.156695
22,0.146459,0.160974
23,0.143202,0.153516
24,0.14665,0.160393
25,0.139936,0.160974
26,0.107297,0.200511
27,0.114483,0.207779
28,0.135482,0.177505
29,0.134053,0.170177
30,0.141549,0.205679
31,0.129665,0.172292
32,0.112873,0.150925
33,0.149416,0.176834
34,0.12868,0.17493
35,0.137975,0.152893
36,0.117555,0.205989
37,0.131607,0.163073
38,0.146082,0.163263
39,0.140674,0.164996
40,0.158602,0.14701
41,0.127972,0.154276
42,0.143592,0.153496
43,0.121051,0.168196
44,0.143454,0.167954
45,0.139187,0.154561
46,0.161866,0.163254
47,0.163034,0.182615
48,0.150191,0.179983
49,0.131438,0.161342
50,0.145693,0.179701
51,0.128229,0.153924
52,0.144774,0.182013
53,0.137247,0.149795
54,0.153776,0.170908
55,0.132329,0.167932
56,0.157915,0.165561
57,0.129177,0.151027
58,0.144125,0.175907
59,0.12688,0.164232
60,0.14898,0.159707
61,0.14517,0.172414
62,0.152255,0.166873
63,0.137032,0.152729
64,0.13973,0.152785
65,0.129875,0.175324
66,0.125952,0.131473
67,0.103852,0.139783
68,0.122194,0.15481
69,0.131738,0.178815
70,0.140735,0.19256
71,0.150905,0.161789
72,0.172526,0.15153
73,0.135151,0.170352
74,0.140439,0.185865
75,0.121685,0.143933
76,0.147436,0.152887
77,0.132129,0.163168
78,0.147571,0.172022
79,0.134167,0.188711
80,0.127155,0.1515
81,0.15257,0.165388
82,0.132705,0.166738
83,0.145419,0.16259
84,0.13893,0.169045
85,0.146468,0.182463
86,0.14585,0.159175
87,0.121626,0.175294
88,0.155958,0.161986
89,0.13881,0.127703
90,0.128951,0.180226
91,0.126559,0.18754
92,0.131242,0.201598
93,0.144048,0.173126
94,0.138885,0.149445
95,0.149028,0.156134
96,0.12508,0.151247
97,0.120024,0.190271
98,0.140381,0.200423
99,0.146739,0.162837
100,0.151734,0.176141
101,0.147917,0.182699
102,0.136603,0.162337
103,0.155585,0.168545
104,0.138631,0.174013
105,0.154734,0.174377
106,0.147434,0.160228
107,0.134351,0.153367
108,0.139158,0.179261
109,0.128253,0.198019
110,0.130104,0.142756
111,0.136599,0.193574
112,0.154692,0.184605
113,0.13386,0.171785
114,0.146955,0.150947
115,0.130691,0.157008
116,0.120585,0.189983
117,0.145217,0.162327
118,0.141938,0.147051
119,0.145416,0.159276
120,0.155447,0.165058
121,0.136463,0.202803
122,0.15196,0.172678
123,0.123566,0.177085
124,0.155022,0.193405
125,0.154749,0.171429
126,0.117008,0.165883
127,0.126658,0.146441
128,0.114566,0.160968
129,0.139864,0.183473
130,0.129185,0.172886
131,0.137256,0.142888
132,0.136255,0.169753
133,0.131789,0.178407
134,0.117098,0.192149
135,0.137581,0.175172
136,0.150964,0.163432
137,0.127831,0.162803
138,0.126644,0.155996
139,0.133854,0.16757
140,0.141192,0.16833
141,0.125018,0.170492
142,0.133503,0.181356
143,0.133615,0.172109
144,0.120281,0.170713
145,0.138132,0.175211
146,0.127472,0.174697
